"SeriesId","Month","Day","BibleReading","PrimaryBookPageRange","PrimaryBookPageStart","PrimaryBookPageEnd","SecondaryBookPageRange","SecondaryBookPageStart","SecondaryBookPageEnd","SortOrder","FullTextPrimary","FullTextSecondary","SummaryPoints"
"1","1","1","Mark 1:1; Luke 1","","0","0","",,,"101","","",""
"1","1","2","John 1:1-14","","0","0","",,,"102","","",""
"1","1","3","","Desire of Ages pp. 19-21","19","21","",,,"103","","",""
"1","1","4","","Desire of Ages pp. 22-24","22","24","",,,"104","","",""
"1","1","5","","Desire of Ages pp. 25-26","25","26","",,,"105","","",""
"1","1","6","","Desire of Ages pp. 27-28","27","28","",,,"106","","",""
"1","1","7","","Desire of Ages pp. 29-30","29","30","",,,"107","","",""
"1","1","8","Matthew 1:1-17","","0","0","",,,"108","","",""
"1","1","9","","Desire of Ages pp. 31-32","31","32","",,,"109","","",""
"1","1","10","","Desire of Ages pp. 33-35","33","35","",,,"110","","",""
"1","1","11","","Desire of Ages pp. 36-38","36","38","",,,"111","","",""
"1","1","12","Matthew 1:18-25","Desire of Ages pp. 43-44","43","44","",,,"112","","",""
"1","1","13","Luke 2:1-21","","0","0","",,,"113","","",""
"1","1","14","","Desire of Ages pp. 47-49","47","49","",,,"114","","",""
"1","1","15","Luke 2:22-38","Desire of Ages pp. 50-51","50","51","",,,"115","","",""
"1","1","16","","Desire of Ages pp. 52-55","52","55","",,,"116","","",""
"1","1","17","","Desire of Ages pp. 56-58","56","58","",,,"117","","",""
"1","1","18","Matthew 2:1-23; Luke 2:39-40","","0","0","",,,"118","","",""
"1","1","19","","Desire of Ages pp. 59-62","59","62","",,,"119","","",""
"1","1","20","","Desire of Ages pp. 63-64","63","64","",,,"120","","",""
"1","1","21","","Desire of Ages pp. 65-67","65","67","",,,"121","","",""
"1","1","22","","Desire of Ages pp. 68-70","68","70","",,,"122","","",""
"1","1","23","","Desire of Ages pp. 71-72","71","72","",,,"123","","",""
"1","1","24","","Desire of Ages pp. 73-74","73","74","",,,"124","","",""
"1","1","25","Luke 2:41-52","Desire of Ages pp. 75-76","75","76","",,,"125","","",""
"1","1","26","","Desire of Ages pp. 77-79","77","79","",,,"126","","",""
"1","1","27","","Desire of Ages pp. 80-81","80","81","",,,"127","","",""
"1","1","28","","Desire of Ages pp. 82-83","82","83","",,,"128","","",""
"1","1","29","","Desire of Ages pp. 84-86","84","86","",,,"129","","",""
"1","1","30","","Desire of Ages pp. 87-89","87","89","",,,"130","","",""
"1","1","31","Luke 1:5-23, 57-80","Desire of Ages pp. 90-92","90","92","",,,"131","","",""
"1","2","1","Matthew 3:1-12; Mark 1:1-8","","0","0","",,,"132","","",""
"1","2","2","Luke 3:1-18","Desire of Ages p. 97","97","97","",,,"133","","",""
"1","2","3","","Desire of Ages pp. 98-100","98","100","",,,"134","","",""
"1","2","4","","Desire of Ages pp. 101-102","101","102","",,,"135","","",""
"1","2","5","","Desire of Ages pp. 103-105","103","105","",,,"136","","",""
"1","2","6","","Desire of Ages pp. 106-108","106","108","",,,"137","","",""
"1","2","7","Matthew 3:13-17; Mark 1:9-11; Luke 3:21-22","Desire of Ages pp. 109-110","109","110","",,,"138","","",""
"1","2","8","","Desire of Ages pp. 111-113","111","113","",,,"139","","",""
"1","2","9","Matthew 4:1-11; Mark 1:12-13","","0","0","",,,"140","","",""
"1","2","10","Luke 4:1-13","Desire of Ages pp. 114-115","114","115","",,,"141","","",""
"1","2","11","","Desire of Ages pp. 116-118","116","118","",,,"142","","",""
"1","2","12","","Desire of Ages pp. 119-121","119","121","",,,"143","","",""
"1","2","13","","Desire of Ages pp. 122-123","122","123","",,,"144","","",""
"1","2","14","","Desire of Ages pp. 124-126","124","126","",,,"145","","",""
"1","2","15","","Desire of Ages pp. 129-131","129","131","",,,"146","","",""
"1","2","16","John 1:15","Desire of Ages p. 132","132","132","",,,"147","","",""
"1","2","17","","Desire of Ages pp. 133-135","133","135","",,,"148","","",""
"1","2","18","","Desire of Ages pp. 136-137","136","137","",,,"149","","",""
"1","2","19","","Desire of Ages pp. 138-140","138","140","",,,"150","","",""
"1","2","20","","Desire of Ages pp. 141-143","141","143","",,,"151","","",""
"1","2","21","John 2:1-12","Desire of Ages pp. 144-146","144","146","",,,"152","","",""
"1","2","22","","Desire of Ages pp. 147-149","147","149","",,,"153","","",""
"1","2","23","","Desire of Ages pp. 150-153","150","153","",,,"154","","",""
"1","2","24","John 2:13-25","Desire of Ages pp. 154-155","154","155","",,,"155","","",""
"1","2","25","","Desire of Ages pp. 156-158","156","158","",,,"156","","",""
"1","2","26","","Desire of Ages pp. 161-163","161","163","",,,"157","","",""
"1","2","27","","Desire of Ages pp. 164-166","164","166","",,,"158","","",""
"1","2","28","John 3:1-22","Desire of Ages pp. 167-168","167","168","",,,"159","","",""
"1","3","1","","Desire of Ages pp. 171-173","171","173","",,,"160","","",""
"1","3","2","","Desire of Ages pp. 174-177","174","177","",,,"161","","",""
"1","3","3","John 3:23-36","Desire of Ages pp. 178-179","178","179","",,,"162","","",""
"1","3","4","","Desire of Ages pp. 180-182","180","182","",,,"163","","",""
"1","3","5","John 4:1-42","Desire of Ages pp. 183-184","183","184","",,,"164","","",""
"1","3","6","","Desire of Ages pp. 187-189","187","189","",,,"165","","",""
"1","3","7","","Desire of Ages pp. 190-192","190","192","",,,"166","","",""
"1","3","8","","Desire of Ages pp. 193-195","193","195","",,,"167","","",""
"1","3","9","Matthew 4:23-25; Luke 4:14-15","Desire of Ages pp. 196-197","196","197","",,,"168","","",""
"1","3","10","","Desire of Ages pp. 198-200","198","200","",,,"169","","",""
"1","3","11","John 5","Desire of Ages p. 201","201","201","",,,"170","","",""
"1","3","12","","Desire of Ages pp. 202-204","202","204","",,,"171","","",""
"1","3","13","","Desire of Ages pp. 205-207","205","207","",,,"172","","",""
"1","3","14","","Desire of Ages pp. 208-210","208","210","",,,"173","","",""
"1","3","15","","Desire of Ages pp. 211-213","211","213","",,,"174","","",""
"1","3","16","Matthew 11:1-27; Luke 7:18-35","","0","0","",,,"175","","",""
"1","3","17","Matthew 14:1-12; Luke 3:19-20","Desire of Ages pp. 214-216","214","216","",,,"176","","",""
"1","3","18","Mark 6:14-29","","0","0","",,,"177","","",""
"1","3","19","","Desire of Ages pp. 217-219","217","219","",,,"178","","",""
"1","3","20","","Desire of Ages pp. 220-222","220","222","",,,"179","","",""
